,brand,resolution,inches,panel,Tv_os,original_price,price,discount,Rating_count
318,Samsung,Ultra HD,55,LED,Google,"3,24,990","2,50,899",22,8
319,LG,Ultra HD,55,QLED,Tizen,99900,63000,36,5
320,SONY,Ultra HD,50,OLED,WebOS,78900,48990,37,326
321,SONY,Ultra HD,55,LED,Google,"2,12,490","1,05,000",50,326
322,Haier,Ultra HD,43,LED,Google,40499,17499,56,4
323,MOTOROLA,Ultra HD,55,OLED,Google,59999,26499,55,1393
324,KODAK,Full HD,32,QLED,Google,21990,12390,43,6631
325,TCL,Ultra HD,32,QLED,Google,24999,12999,48,29
326,Acer,4K,43,QLED,Google,47990,19999,58,6679
327,TCL,HD Ready,32,QLED,Google,19999,15999,20,24
328,XIAOMI,Full HD,50,LED,,58999,29999,49,"2,21,613"
329,MOTOROLA,HD Ready,85,LED,,"5,99,990","2,24,990",62,10067
330,TCL,Ultra HD,55,QLED,Google,75990,43490,42,135
331,Haier,Ultra HD,85,LED,Google,"6,39,990","2,69,990",57,417
332,TCL,Ultra HD,50,QLED,Google,69990,32699,53,24
333,LG,Ultra HD,75,LED,Google,"2,20,900","1,07,990",51,35739
334,SONY,Ultra HD,55,LED,WebOS,69999,30999,55,31004
335,Hisense,Ultra HD,32,LED,Google,17990,7999,55,6939
336,Daiwa,Ultra HD,50,QLED,,50600,35990,28,3940
337,Samsung,HD Ready,75,LED,,"2,24,999",99999,55,24665
338,Hisense,4K,32,LED,Tizen,24999,18000,27,178
339,LG,Ultra HD,43,LED,,37200,22490,39,34
340,Samsung,HD Ready,55,LED,WebOS,"1,79,990",72990,59,10566
341,TCL,Full HD,32,LED,Tizen,24900,10289,58,23
342,Samtonic,Ultra HD,55,LED,Google,78990,27990,64,100
343,TCL,HD Ready,32,LED,,24490,14849,39,26299
344,Lloyd,Ultra HD,43,LED,Google,17999,13499,25,62
345,Coocaa,HD Ready,55,LED,WebOS,54999,35999,34,21731
346,PHILIPS,Full HD,40,LED,,17999,11999,33,108
347,Thomson,Ultra HD,32,QLED,Google,14999,8399,44,50799
348,Thomson,Full HD,55,LED,,49999,31999,36,50799
349,KODAK,HD Ready,55,LED,,48999,34999,28,33
350,XIAOMI,Ultra HD,32,QLED,Google,19990,8999,54,83331
351,Reliance,Ultra HD,85,LED,Google,"4,19,990","1,29,990",69,149
352,TCL,HD Ready,43,LED,,41300,24990,39,2437
353,Samsung,Ultra HD,55,QLED,Google,"1,83,900","1,29,360",29,24665
354,SONY,4K,75,LED,Tizen,"1,39,990",55999,59,3
355,iFFALCON,Ultra HD,55,LED,Google,61600,38490,37,365
356,Samsung,Ultra HD,55,LED,Google,49999,28100,43,70277
357,OnePlus,4K,43,LED,Tizen,51999,23999,53,3405
358,Acer,Ultra HD,75,LED,,"1,79,990",68990,61,2524
359,TCL,Ultra HD,43,QLED,Google,49990,21190,57,7746
360,acerpure,Ultra HD,43,QLED,Google,84990,54000,36,1609
361,LG,Ultra HD,55,QLED,Google,89990,49990,44,426
362,LG,Ultra HD,43,,WebOS,59490,37092,37,8
363,LG,Ultra HD,65,LED,WebOS,"2,24,990","1,69,990",24,5
364,LG,Ultra HD,55,LED,WebOS,71990,43891,39,804
